PATRON#|Activity_Date|LOCATION|I_TYPE
1391490|10-06-2022|hjpx|1
1391490|10-06-2022|hjzf|1
1346647|10-06-2022|cjzf|1
1391490|10-06-2022|hjp|1
1346647|10-06-2022|cjpbb|23
1391490|10-06-2022|hjzf|1
1391490|10-06-2022|hjzf|1
1391490|10-06-2022|hjzf|1
1346647|10-06-2022|cjpbb|23
1391490|10-06-2022|hjzf|1
1355575|10-06-2022|hf|1
1391490|10-06-2022|hjzf|1
1346647|10-06-2022|cjpbb|23
1391490|10-06-2022|hjzf|1
1391490|10-06-2022|hjp|1
1391490|10-06-2022|hjx|1
1346647|10-06-2022|cjp|23
1391490|10-06-2022|hjf|1
1055403|10-06-2022|mve|29
1055403|10-06-2022|mve|29
1055403|10-06-2022|mve|29
1055403|10-06-2022|mve|29
1055403|10-06-2022|hltx|1
1055403|10-06-2022|mve|22
1391490|10-06-2022|hjp|1
1408146|10-06-2022|mjve|22
1408146|10-06-2022|hjve|22
1408146|10-06-2022|hjve|22
1350603|10-06-2022|mmag|9
1382555|10-06-2022|cjp|1
1382555|10-06-2022|cjp|1
1414138|10-06-2022|hjp|1
1382555|10-06-2022|cjp|1
1382555|10-06-2022|hjzf|1
1382555|10-06-2022|cjk|7
1027421|10-06-2022|mb|1
1027423|10-06-2022|mven|29
1027423|10-06-2022|mven|29
1027423|10-06-2022|mmy|1
1027423|10-06-2022|mscin|1
1027423|10-06-2022|mmyn|1
1402711|10-06-2022|mfn|1
1402711|10-06-2022|mf|1
1027421|10-06-2022|mf|1
1377007|10-06-2022|msci|1
1355576|10-06-2022|mmyn|1
1355576|10-06-2022|mfn|1
1414352|10-06-2022|cf|1
1414352|10-06-2022|cx|1
1414352|10-06-2022|cf|1
1414352|10-06-2022|mxn|1
1018068|10-06-2022|mjx|1
1018068|10-06-2022|mjzf|1
1018068|10-06-2022|mjx|1
1018068|10-06-2022|mjzf|1
1344797|10-06-2022|mxn|1
1018068|10-06-2022|hjzf|1
1018068|10-06-2022|mjzf|1
1018068|10-06-2022|mjzf|1
1018068|10-06-2022|hjzf|1
1415867|10-06-2022|cx|1
1415867|10-06-2022|cx|1
1415867|10-06-2022|cx|1
1415867|10-06-2022|c3|30
1018068|10-06-2022|hjzx|1
1018068|10-06-2022|hjzx|1
1018068|10-06-2022|mjzx|1
1018068|10-06-2022|hjzx|1
1018068|10-06-2022|mjp|1
